Year,Tax Rate,Above,Below,,
1963,84.0%,"$160,000","$180,000",,
1963,87.0%,"$180,000","$200,000",,
1963,89.0%,"$200,000","$300,000",,
1963,90.0%,"$300,000","$400,000",,
1963,91.0%,"$400,000",-,,
1962,20.0%,$0,"$4,000",,
1962,22.0%,"$4,000","$8,000",,
1962,26.0%,"$8,000","$12,000",,
1962,30.0%,"$12,000","$16,000",,
1962,34.0%,"$16,000","$20,000",,
1962,38.0%,"$20,000","$24,000",,
1962,43.0%,"$24,000","$28,000",,
1962,47.0%,"$28,000","$32,000",,
1962,50.0%,"$32,000","$36,000",,
1962,53.0%,"$36,000","$40,000",,
1962,56.0%,"$40,000","$44,000",,
1962,59.0%,"$44,000","$52,000",,
1962,62.0%,"$52,000","$64,000",,
1962,65.0%,"$64,000","$76,000",,
1962,69.0%,"$76,000","$88,000",,
1962,72.0%,"$88,000","$100,000",,
1962,75.0%,"$100,000","$120,000",,
1962,78.0%,"$120,000","$140,000",,
1962,81.0%,"$140,000","$160,000",,
1962,84.0%,"$160,000","$180,000",,
1962,87.0%,"$180,000","$200,000",,
1962,89.0%,"$200,000","$300,000",,
1962,90.0%,"$300,000","$400,000",,
1962,91.0%,"$400,000",-,,
1961,20.0%,$0,"$4,000",,
1961,22.0%,"$4,000","$8,000",,
1961,26.0%,"$8,000","$12,000",,
1961,30.0%,"$12,000","$16,000",,
1961,34.0%,"$16,000","$20,000",,
1961,38.0%,"$20,000","$24,000",,
1961,43.0%,"$24,000","$28,000",,
1961,47.0%,"$28,000","$32,000",,
1961,50.0%,"$32,000","$36,000",,
1961,53.0%,"$36,000","$40,000",,
1961,56.0%,"$40,000","$44,000",,
1961,59.0%,"$44,000","$52,000",,
1961,62.0%,"$52,000","$64,000",,
1961,65.0%,"$64,000","$76,000",,
1961,69.0%,"$76,000","$88,000",,
1961,72.0%,"$88,000","$100,000",,
1961,75.0%,"$100,000","$120,000",,
1961,78.0%,"$120,000","$140,000",,
1961,81.0%,"$140,000","$160,000",,
1961,84.0%,"$160,000","$180,000",,
1961,87.0%,"$180,000","$200,000",,
1961,89.0%,"$200,000","$300,000",,
1961,90.0%,"$300,000","$400,000",,
1961,91.0%,"$400,000",-,,
1960,20.0%,$0,"$4,000",,
1960,22.0%,"$4,000","$8,000",,
1960,26.0%,"$8,000","$12,000",,
1960,30.0%,"$12,000","$16,000",,
1960,34.0%,"$16,000","$20,000",,
1960,38.0%,"$20,000","$24,000",,
1960,43.0%,"$24,000","$28,000",,
1960,47.0%,"$28,000","$32,000",,
1960,50.0%,"$32,000","$36,000",,
1960,53.0%,"$36,000","$40,000",,
1960,56.0%,"$40,000","$44,000",,
1960,59.0%,"$44,000","$52,000",,
1960,62.0%,"$52,000","$64,000",,
1960,65.0%,"$64,000","$76,000",,
1960,69.0%,"$76,000","$88,000",,
1960,72.0%,"$88,000","$100,000",,
1960,75.0%,"$100,000","$120,000",,
1960,78.0%,"$120,000","$140,000",,
1960,81.0%,"$140,000","$160,000",,
1960,84.0%,"$160,000","$180,000",,
1960,87.0%,"$180,000","$200,000",,
1960,89.0%,"$200,000","$300,000",,
1960,90.0%,"$300,000","$400,000",,
1960,91.0%,"$400,000",-,,
1959,20.0%,$0,"$4,000",,
1959,22.0%,"$4,000","$8,000",,
1959,26.0%,"$8,000","$12,000",,
1959,30.0%,"$12,000","$16,000",,
1959,34.0%,"$16,000","$20,000",,
1959,38.0%,"$20,000","$24,000",,
1959,43.0%,"$24,000","$28,000",,
1959,47.0%,"$28,000","$32,000",,
1959,50.0%,"$32,000","$36,000",,
1959,53.0%,"$36,000","$40,000",,
1959,56.0%,"$40,000","$44,000",,
1959,59.0%,"$44,000","$52,000",,
1959,62.0%,"$52,000","$64,000",,
1959,65.0%,"$64,000","$76,000",,
1959,69.0%,"$76,000","$88,000",,
1959,72.0%,"$88,000","$100,000",,
1959,75.0%,"$100,000","$120,000",,
1959,78.0%,"$120,000","$140,000",,
1959,81.0%,"$140,000","$160,000",,
1959,84.0%,"$160,000","$180,000",,
1959,87.0%,"$180,000","$200,000",,
1959,89.0%,"$200,000","$300,000",,
1959,90.0%,"$300,000","$400,000",,
1959,91.0%,"$400,000",-,,
1958,20.0%,$0,"$4,000",,
1958,22.0%,"$4,000","$8,000",,
1958,26.0%,"$8,000","$12,000",,
1958,30.0%,"$12,000","$16,000",,
1958,34.0%,"$16,000","$20,000",,
1958,38.0%,"$20,000","$24,000",,
1958,43.0%,"$24,000","$28,000",,
1958,47.0%,"$28,000","$32,000",,
1958,50.0%,"$32,000","$36,000",,
1958,53.0%,"$36,000","$40,000",,
1958,56.0%,"$40,000","$44,000",,
1958,59.0%,"$44,000","$52,000",,
1958,62.0%,"$52,000","$64,000",,
1958,65.0%,"$64,000","$76,000",,
1958,69.0%,"$76,000","$88,000",,
1958,72.0%,"$88,000","$100,000",,
1958,75.0%,"$100,000","$120,000",,
1958,78.0%,"$120,000","$140,000",,
1958,81.0%,"$140,000","$160,000",,
1958,84.0%,"$160,000","$180,000",,
1958,87.0%,"$180,000","$200,000",,
1958,89.0%,"$200,000","$300,000",,
1958,90.0%,"$300,000","$400,000",,
1958,91.0%,"$400,000",-,,
1957,20.0%,$0,"$4,000",,
1957,22.0%,"$4,000","$8,000",,
1957,26.0%,"$8,000","$12,000",,
1957,30.0%,"$12,000","$16,000",,
1957,34.0%,"$16,000","$20,000",,
1957,38.0%,"$20,000","$24,000",,
1957,43.0%,"$24,000","$28,000",,
1957,47.0%,"$28,000","$32,000",,
1957,50.0%,"$32,000","$36,000",,
1957,53.0%,"$36,000","$40,000",,
1957,56.0%,"$40,000","$44,000",,
1957,59.0%,"$44,000","$52,000",,
1957,62.0%,"$52,000","$64,000",,
1957,65.0%,"$64,000","$76,000",,
1957,69.0%,"$76,000","$88,000",,
1957,72.0%,"$88,000","$100,000",,
1957,75.0%,"$100,000","$120,000",,
1957,78.0%,"$120,000","$140,000",,
1957,81.0%,"$140,000","$160,000",,
1957,84.0%,"$160,000","$180,000",,
1957,87.0%,"$180,000","$200,000",,
1957,89.0%,"$200,000","$300,000",,
1957,90.0%,"$300,000","$400,000",,
1957,91.0%,"$400,000",-,,
1956,20.0%,$0,"$4,000",,
1956,22.0%,"$4,000","$8,000",,
1956,26.0%,"$8,000","$12,000",,
1956,30.0%,"$12,000","$16,000",,
1956,34.0%,"$16,000","$20,000",,
1956,38.0%,"$20,000","$24,000",,
1956,43.0%,"$24,000","$28,000",,
1956,47.0%,"$28,000","$32,000",,
1956,50.0%,"$32,000","$36,000",,
1956,53.0%,"$36,000","$40,000",,
1956,56.0%,"$40,000","$44,000",,
1956,59.0%,"$44,000","$52,000",,
1956,62.0%,"$52,000","$64,000",,
1956,65.0%,"$64,000","$76,000",,
1956,69.0%,"$76,000","$88,000",,
1956,72.0%,"$88,000","$100,000",,
1956,75.0%,"$100,000","$120,000",,
1956,78.0%,"$120,000","$140,000",,
1956,81.0%,"$140,000","$160,000",,
1956,84.0%,"$160,000","$180,000",,
1956,87.0%,"$180,000","$200,000",,
1956,89.0%,"$200,000","$300,000",,
1956,90.0%,"$300,000","$400,000",,
1956,91.0%,"$400,000",-,,
1955,20.0%,$0,"$4,000",,
1955,22.0%,"$4,000","$8,000",,
1955,26.0%,"$8,000","$12,000",,
1955,30.0%,"$12,000","$16,000",,
1955,34.0%,"$16,000","$20,000",,
1955,38.0%,"$20,000","$24,000",,
1955,43.0%,"$24,000","$28,000",,
1955,47.0%,"$28,000","$32,000",,
1955,50.0%,"$32,000","$36,000",,
1955,53.0%,"$36,000","$40,000",,
1955,56.0%,"$40,000","$44,000",,
1955,59.0%,"$44,000","$52,000",,
1955,62.0%,"$52,000","$64,000",,
1955,65.0%,"$64,000","$76,000",,
1955,69.0%,"$76,000","$88,000",,
1955,72.0%,"$88,000","$100,000",,
1955,75.0%,"$100,000","$120,000",,
1955,78.0%,"$120,000","$140,000",,
1955,81.0%,"$140,000","$160,000",,
1955,84.0%,"$160,000","$180,000",,
1955,87.0%,"$180,000","$200,000",,
1955,89.0%,"$200,000","$300,000",,
1955,90.0%,"$300,000","$400,000",,
1955,91.0%,"$400,000",-,,
1954,20.0%,$0,"$2,000",,
1954,22.0%,"$2,000","$4,000",,
1954,26.0%,"$4,000","$6,000",,
1954,30.0%,"$6,000","$8,000",,
1954,34.0%,"$8,000","$10,000",,
1954,38.0%,"$10,000","$12,000",,
1954,43.0%,"$12,000","$14,000",,
1954,47.0%,"$14,000","$16,000",,
1954,50.0%,"$16,000","$18,000",,
1954,53.0%,"$18,000","$20,000",,
1954,56.0%,"$20,000","$22,000",,
1954,59.0%,"$22,000","$26,000",,
1954,62.0%,"$26,000","$32,000",,
1954,65.0%,"$32,000","$38,000",,
1954,69.0%,"$38,000","$44,000",,
1954,72.0%,"$44,000","$50,000",,
1954,75.0%,"$50,000","$60,000",,
1954,78.0%,"$60,000","$70,000",,
1954,81.0%,"$70,000","$80,000",,
1954,84.0%,"$80,000","$90,000",,
1954,87.0%,"$90,000","$100,000",,
1954,89.0%,"$100,000","$150,000",,
1954,90.0%,"$150,000","$200,000",,
1954,91.0%,"$200,000",-,,
1953,22.2%,$0,"$2,000",,
1953,24.6%,"$2,000","$4,000",,
1953,29.0%,"$4,000","$6,000",,
1953,34.0%,"$6,000","$8,000",,
1953,38.0%,"$8,000","$10,000",,
1953,42.0%,"$10,000","$12,000",,
1953,48.0%,"$12,000","$14,000",,
1953,53.0%,"$14,000","$16,000",,
1953,56.0%,"$16,000","$18,000",,
1953,59.0%,"$18,000","$20,000",,
1953,62.0%,"$20,000","$22,000",,
1953,66.0%,"$22,000","$26,000",,
1953,67.0%,"$26,000","$32,000",,
1953,68.0%,"$32,000","$38,000",,
1953,72.0%,"$38,000","$44,000",,
1953,75.0%,"$44,000","$50,000",,
1953,77.0%,"$50,000","$60,000",,
1953,80.0%,"$60,000","$70,000",,
1953,83.0%,"$70,000","$80,000",,
1953,85.0%,"$80,000","$90,000",,
1953,88.0%,"$90,000","$100,000",,
1953,90.0%,"$100,000","$150,000",,
1953,91.0%,"$150,000","$200,000",,
1953,92.0%,"$200,000",-,,
1952,22.2%,$0,"$2,000",,
1952,24.6%,"$2,000","$4,000",,
1952,29.0%,"$4,000","$6,000",,
1952,34.0%,"$6,000","$8,000",,
1952,38.0%,"$8,000","$10,000",,
1952,42.0%,"$10,000","$12,000",,
1952,48.0%,"$12,000","$14,000",,
1952,53.0%,"$14,000","$16,000",,
1952,56.0%,"$16,000","$18,000",,
1952,59.0%,"$18,000","$20,000",,
1952,62.0%,"$20,000","$22,000",,
1952,66.0%,"$22,000","$26,000",,
1952,67.0%,"$26,000","$32,000",,
1952,68.0%,"$32,000","$38,000",,
1952,72.0%,"$38,000","$44,000",,
1952,75.0%,"$44,000","$50,000",,
1952,77.0%,"$50,000","$60,000",,
1952,80.0%,"$60,000","$70,000",,
1952,83.0%,"$70,000","$80,000",,
1952,85.0%,"$80,000","$90,000",,
1952,88.0%,"$90,000","$100,000",,
1952,90.0%,"$100,000","$150,000",,
1952,91.0%,"$150,000","$200,000",,
1952,92.0%,"$200,000",-,,
1951,20.4%,$0,"$2,000",,
1951,22.4%,"$2,000","$4,000",,
1951,27.0%,"$4,000","$6,000",,
1951,30.0%,"$6,000","$8,000",,
1951,35.0%,"$8,000","$10,000",,
1951,39.0%,"$10,000","$12,000",,
1951,43.0%,"$12,000","$14,000",,
1951,48.0%,"$14,000","$16,000",,
1951,51.0%,"$16,000","$18,000",,
1951,54.0%,"$18,000","$20,000",,
1951,57.0%,"$20,000","$22,000",,
1951,60.0%,"$22,000","$26,000",,
1951,63.0%,"$26,000","$32,000",,
1951,66.0%,"$32,000","$38,000",,
1951,69.0%,"$38,000","$44,000",,
1951,73.0%,"$44,000","$50,000",,
1951,75.0%,"$50,000","$60,000",,
1951,78.0%,"$60,000","$70,000",,
1951,82.0%,"$70,000","$80,000",,
1951,84.0%,"$80,000","$90,000",,
1951,87.0%,"$90,000","$100,000",,
1951,89.0%,"$100,000","$150,000",,
1951,90.0%,"$150,000","$200,000",,
1951,91.0%,"$200,000",-,,
1950,20.0%,$0,"$2,000",,
1950,22.0%,"$2,000","$4,000",,
1950,26.0%,"$4,000","$6,000",,
1950,30.0%,"$6,000","$8,000",,
1950,34.0%,"$8,000","$10,000",,
1950,38.0%,"$10,000","$12,000",,
1950,43.0%,"$12,000","$14,000",,
1950,47.0%,"$14,000","$16,000",,
1950,50.0%,"$16,000","$18,000",,
1950,53.0%,"$18,000","$20,000",,
1950,56.0%,"$20,000","$22,000",,
1950,59.0%,"$22,000","$26,000",,
1950,62.0%,"$26,000","$32,000",,
1950,65.0%,"$32,000","$38,000",,
1950,69.0%,"$38,000","$44,000",,
1950,72.0%,"$44,000","$50,000",,
1950,75.0%,"$50,000","$60,000",,
1950,78.0%,"$60,000","$70,000",,
1950,81.0%,"$70,000","$80,000",,
1950,84.0%,"$80,000","$90,000",,
1950,87.0%,"$90,000","$100,000",,
1950,89.0%,"$100,000","$150,000",,
1950,90.0%,"$150,000","$200,000",,
1950,91.0%,"$200,000",-,,
1949,20.0%,$0,"$2,000",,
1949,22.0%,"$2,000","$4,000",,
1949,26.0%,"$4,000","$6,000",,
1949,30.0%,"$6,000","$8,000",,
1949,34.0%,"$8,000","$10,000",,
1949,38.0%,"$10,000","$12,000",,
1949,43.0%,"$12,000","$14,000",,
1949,47.0%,"$14,000","$16,000",,
1949,50.0%,"$16,000","$18,000",,
1949,53.0%,"$18,000","$20,000",,
1949,56.0%,"$20,000","$22,000",,
1949,59.0%,"$22,000","$26,000",,
1949,62.0%,"$26,000","$32,000",,
1949,65.0%,"$32,000","$38,000",,
1949,69.0%,"$38,000","$44,000",,
1949,72.0%,"$44,000","$50,000",,
1949,75.0%,"$50,000","$60,000",,
1949,78.0%,"$60,000","$70,000",,
1949,81.0%,"$70,000","$80,000",,
1949,84.0%,"$80,000","$90,000",,
1949,87.0%,"$90,000","$100,000",,
1949,89.0%,"$100,000","$150,000",,
1949,90.0%,"$150,000","$200,000",,
1949,91.0%,"$200,000",-,,
1948,20.0%,$0,"$2,000",,
1948,22.0%,"$2,000","$4,000",,
1948,26.0%,"$4,000","$6,000",,
1948,30.0%,"$6,000","$8,000",,
1948,34.0%,"$8,000","$10,000",,
1948,38.0%,"$10,000","$12,000",,
1948,43.0%,"$12,000","$14,000",,
1948,47.0%,"$14,000","$16,000",,
1948,50.0%,"$16,000","$18,000",,
1948,53.0%,"$18,000","$20,000",,
1948,56.0%,"$20,000","$22,000",,
1948,59.0%,"$22,000","$26,000",,
1948,62.0%,"$26,000","$32,000",,
1948,65.0%,"$32,000","$38,000",,
1948,69.0%,"$38,000","$44,000",,
1948,72.0%,"$44,000","$50,000",,
1948,75.0%,"$50,000","$60,000",,
1948,78.0%,"$60,000","$70,000",,
1948,81.0%,"$70,000","$80,000",,
1948,84.0%,"$80,000","$90,000",,
1948,87.0%,"$90,000","$100,000",,
1948,89.0%,"$100,000","$150,000",,
1948,90.0%,"$150,000","$200,000",,
1948,91.0%,"$200,000",-,,
1947,20.0%,$0,"$2,000",,
1947,22.0%,"$2,000","$4,000",,
1947,26.0%,"$4,000","$6,000",,
1947,30.0%,"$6,000","$8,000",,
1947,34.0%,"$8,000","$10,000",,
1947,38.0%,"$10,000","$12,000",,
1947,43.0%,"$12,000","$14,000",,
1947,47.0%,"$14,000","$16,000",,
1947,50.0%,"$16,000","$18,000",,
1947,53.0%,"$18,000","$20,000",,
1947,56.0%,"$20,000","$22,000",,
1947,59.0%,"$22,000","$26,000",,
1947,62.0%,"$26,000","$32,000",,
1947,65.0%,"$32,000","$38,000",,
1947,69.0%,"$38,000","$44,000",,
1947,72.0%,"$44,000","$50,000",,
1947,75.0%,"$50,000","$60,000",,
1947,78.0%,"$60,000","$70,000",,
1947,81.0%,"$70,000","$80,000",,
1947,84.0%,"$80,000","$90,000",,
1947,87.0%,"$90,000","$100,000",,
1947,89.0%,"$100,000","$150,000",,
1947,90.0%,"$150,000","$200,000",,
1947,91.0%,"$200,000",-,,
